1,1,984.30,431.23,279.65,567.47,0.87,-1,-1,-1
1,2,793.48,313.78,245.03,760.29,0.86,-1,-1,-1
1,3,618.27,386.49,228.57,627.40,0.86,-1,-1,-1
2,1,990.02,423.51,290.52,575.87,0.87,-1,-1,-1
2,2,792.20,317.58,251.62,759.45,0.87,-1,-1,-1
2,3,607.90,387.56,227.11,646.42,0.88,-1,-1,-1
3,1,1000.12,427.85,282.99,572.23,0.85,-1,-1,-1
3,2,793.46,324.44,253.06,750.60,0.85,-1,-1,-1
3,3,589.55,398.57,245.24,635.91,0.88,-1,-1,-1
4,1,1017.44,450.40,254.18,547.21,0.86,-1,-1,-1
4,2,779.66,352.86,265.59,719.96,0.86,-1,-1,-1
4,3,573.49,446.29,262.75,592.78,0.84,-1,-1,-1
5,1,1026.40,455.16,238.90,538.62,0.82,-1,-1,-1
5,2,774.31,364.74,271.27,711.26,0.51,-1,-1,-1
5,3,566.74,491.78,273.44,558.97,0.58,-1,-1,-1
6,1,1036.15,515.51,238.14,466.33,0.24,-1,-1,-1
6,2,628.51,369.38,452.36,696.86,0.54,-1,-1,-1
7,1,1053.08,563.94,247.17,330.65,0.36,-1,-1,-1
7,2,566.44,379.50,513.98,689.50,0.69,-1,-1,-1
7,3,549.46,502.78,311.35,565.33,0.43,-1,-1,-1
8,1,1057.32,592.95,243.11,288.10,0.20,-1,-1,-1
8,2,496.35,400.66,689.64,649.82,0.12,-1,-1,-1
8,3,511.96,532.91,358.53,535.33,0.49,-1,-1,-1
9,3,540.56,589.63,328.39,468.49,0.47,-1,-1,-1
10,3,547.59,627.02,317.02,414.72,0.81,-1,-1,-1
11,3,558.82,636.41,316.39,395.97,0.41,-1,-1,-1
11,1,994.54,640.68,269.61,293.97,0.71,-1,-1,-1
12,3,513.06,633.27,383.88,389.92,0.71,-1,-1,-1
12,1,987.73,639.35,269.79,302.90,0.82,-1,-1,-1
13,3,542.46,624.57,397.67,389.94,0.84,-1,-1,-1
13,1,977.11,632.78,275.11,306.90,0.87,-1,-1,-1
13,6,850.91,695.93,260.95,379.91,0.78,-1,-1,-1
14,3,536.07,609.47,419.57,390.61,0.74,-1,-1,-1
14,1,965.31,614.99,282.64,325.55,0.85,-1,-1,-1
14,6,852.25,735.03,260.54,340.92,0.57,-1,-1,-1
15,3,539.98,621.50,361.81,370.08,0.77,-1,-1,-1
15,1,958.72,599.82,293.69,330.66,0.81,-1,-1,-1
16,3,538.71,622.31,339.95,360.06,0.88,-1,-1,-1
16,1,954.51,586.74,313.61,340.91,0.74,-1,-1,-1
17,3,537.77,618.16,332.99,355.49,0.66,-1,-1,-1
17,1,869.96,553.05,417.21,366.12,0.55,-1,-1,-1
17,6,821.97,698.93,286.50,380.53,0.77,-1,-1,-1
18,3,530.77,604.18,337.61,359.80,0.86,-1,-1,-1
18,1,835.97,523.60,468.38,494.80,0.44,-1,-1,-1
18,6,792.65,685.87,343.73,393.47,0.26,-1,-1,-1
19,3,526.70,558.26,340.76,392.15,0.82,-1,-1,-1
19,1,792.07,461.78,523.81,592.68,0.82,-1,-1,-1
20,3,509.71,519.54,356.65,423.80,0.67,-1,-1,-1
20,1,770.00,410.78,582.89,662.36,0.87,-1,-1,-1
21,3,501.49,461.06,364.57,473.68,0.75,-1,-1,-1
21,1,631.52,436.51,756.38,643.49,0.84,-1,-1,-1
22,3,500.29,429.61,367.25,499.89,0.73,-1,-1,-1
22,1,566.90,464.01,842.89,615.99,0.89,-1,-1,-1
22,7,961.92,443.49,267.29,428.01,0.43,-1,-1,-1
