1,1,984.30,431.23,279.65,567.47,0.87,-1,-1,-1
1,2,793.48,313.78,245.03,760.29,0.86,-1,-1,-1
1,3,618.27,386.49,228.57,627.40,0.86,-1,-1,-1
2,1,990.02,423.51,290.52,575.87,0.87,-1,-1,-1
2,2,792.20,317.58,251.62,759.45,0.87,-1,-1,-1
2,3,607.90,387.56,227.11,646.42,0.88,-1,-1,-1
3,1,1000.12,427.85,282.99,572.23,0.85,-1,-1,-1
3,2,793.46,324.44,253.06,750.60,0.85,-1,-1,-1
3,3,589.55,398.57,245.24,635.91,0.88,-1,-1,-1
4,1,1017.44,450.40,254.18,547.21,0.86,-1,-1,-1
4,2,779.66,352.86,265.59,719.96,0.86,-1,-1,-1
4,3,573.49,446.29,262.75,592.78,0.84,-1,-1,-1
5,1,1026.40,455.16,238.90,538.62,0.82,-1,-1,-1
5,2,774.31,364.74,271.27,711.26,0.51,-1,-1,-1
5,3,566.74,491.78,273.44,558.97,0.58,-1,-1,-1
6,1,1036.15,515.51,238.14,466.33,0.24,-1,-1,-1
6,2,628.51,369.38,452.36,696.86,0.54,-1,-1,-1
7,1,1053.08,563.94,247.17,330.65,0.36,-1,-1,-1
7,2,566.44,379.50,513.98,689.50,0.69,-1,-1,-1
7,3,549.46,502.78,311.35,565.33,0.43,-1,-1,-1
8,1,1057.32,592.95,243.11,288.10,0.20,-1,-1,-1
8,2,496.35,400.66,689.64,649.82,0.12,-1,-1,-1
8,3,511.96,532.91,358.53,535.33,0.49,-1,-1,-1
